"","cross","diffK1mean","diffK1sqmean"
"1","CB-9-1_x_PR-16-2",0.284431,0.080900993761
"2","CB-9-1_x_WV-7-2",0.610503,0.372713913009
"3","CH-2-2_x_MP-12-1",NA,NA
"4","CO-11-1_x_FL-9-1",0.08684,0.0075411856
"5","CO-11-1_x_SP-20-2",0.333086,0.110946283396
"6","CO-6-2_x_CB-4-1",0.075061647,0.00563425085035261
"7","CO-9-1_x_HV-18-1",0.314391,0.098841700881
"8","DF-19-2_x_CO-19-1",0.484696308,0.234930510988831
"9","FC-21-1_x_WV-3-2",NA,NA
"10","FC-9-2_x_JF-25-1",0.99998,0.9999600004
"11","FL-6-2_x_LH-10-2",0.118802,0.014113915204
"12","FL-9-2_x_JF-25-1",0.76093,0.5790144649
"13","FL-9-2_x_MC-4-2",0.23504,0.0552438016
"14","JF-14-1_x_FC-21-1",0.966392,0.933913497664
"15","JF-25-1_x_RM-54-2",0.99998,0.9999600004
"16","JF-4-2_x_SP-6B-2",0.455618,0.207587761924
"17","JV-13-1_x_CB-9-1",0.029613,0.000876929769
"18","LH-13-1_x_JF-10-2",0.616641,0.380246122881
"19","MC-1-1_x_JV-13-1",0.051384,0.002640315456
"20","MP-12-1_x_SP-16-2",0.257195,0.066149268025
"21","MP-14-1_x_SP-6B-2",0.379453,0.143984579209
"22","MP-14-1_X_WR-Y-2",0.391541,0.153304354681
"23","MP-2-2_x_JF-4-2B",0,0
"24","MP-5-1_x_SP-6B-2",0.455618,0.207587761924
"25","MP-9-2_x_WR-R-1",0.412604,0.170242060816
"26","MP-C-1_x_FC-26-1",NA,NA
"27","PR-12-1_x_JF-25-1",0.99998,0.9999600004
"28","PR-12-6_x_WV-8-2",NA,NA
"29","PR-16-2_x_SP-6B-2",0.507343,0.257396919649
"30","PR-16-2_x_WV-7-2",0.894934,0.800906864356
"31","PR-19-2_x_CO-19-1",NA,NA
"32","PR-2-1_x_WV-8-2",NA,NA
"33","RM-53-1B_x_CO-2-1",0.298576231,0.0891477657181654
"34","RM-54-2_x_MP-7-1",0.5971,0.35652841
"35","SH-17-2_x_MC-1-1",0.236443,0.055905292249
"36","SH-17-2_x_RM-8-2",0.01082,0.0001170724
"37","SP-16-2_x_WV-8-2",NA,NA
"38","SP-20-2_x_CO-2-1",0.157266,0.024732594756
"39","SP-4B-2_x_RM-8-2",0.599706,0.359647286436
"40","WR-21B_x_MP-2-2",0.462953,0.214325480209
"41","WR-21B-1_x_CO-11-1",0.148184,0.021958497856
"42","WR-4-2_x_MP-12-1",0.297309,0.088392641481
"43","WR-Y-2_x_MP-12-1",0.274438,0.075316215844
"44","WV-3-2_x_CO-11-1",0.4835024,0.23377457080576
"45","WV-3-2_x_FL-9-2",0.6332954,0.40106306366116
"46","WV-8-2_x_JF-25-1",NA,NA
